Lab_ID_String,Sample_ID,lake,Collection_Date,Anatoxin A,Cylindrospermopsin,Microcystin LA,Microcystin LF,Microcystin LR,Microcystin LW,Microcystin RR,Saxitoxin,Batch,Analysis Date,%Imidazolidine
07-1888,FSL20 SITE2 EPI,FSL20 ,2007-08-13,1.1,,,,,,,,W07129,2008-03-06 0:00,81.900718
07-1894,FSL20 SITE2 EPI,FSL20 ,2007-09-24,2.4,,,,,,,,W07129,2008-03-06 0:00,100.19398
07-1889,FSL20 SITE2 HYPO,FSL20 ,2007-08-13,0.2,,,,,,,,W07129,2008-03-06 0:00,77.982286
07-1895,FSL20 SITE2 HYPO,FSL20 ,2007-09-24,0.5,,,,,,,,W07129,2008-03-06 0:00,106.00785
07-1890,FSL20 SITE3 EPI,FSL20 ,2007-08-13,0.4,,,,,,,,W07129,2008-03-06 0:00,127.354136
07-1896,FSL20 SITE3 EPI,FSL20 ,2007-09-24,2.3,,,,,,,,W07129,2008-03-06 0:00,91.67973
07-1891,FSL20 SITE4 EPI,FSL20 ,2007-08-13,0.9,,,,,,,1.2,W07129,2008-03-06 0:00,84.736472
07-1897,FSL20 SITE4 EPI,FSL20 ,2007-09-24,3.4,,,,,,,,W07129,2008-03-06 0:00,80.671642
07-1898,FSL20 SITE4 EPI LD2,FSL20 ,2007-09-24,2.4,,,,,,,,W07129,2008-03-06 0:00,81.071916
08-1074,ISLAND 14-16,ISLAND,2008-06-03,,,,,77,,,,W08100,2008-06-06 0:00,
08-1075,ISLAND 16-18,ISLAND,2008-06-03,,,,,73.2,,,,W08100,2008-06-06 0:00,
08-1096,ISLAND 16-18 CORE B,ISLAND,2008-06-03,,,,,82.3,,,,W08100,2008-06-06 0:00,
08-1076,ISLAND 18-20,ISLAND,2008-06-03,,,,,122.9,,,,W08100,2008-06-06 0:00,
08-1077,ISLAND 22-24,ISLAND,2008-06-03,,,,,54,,,,W08100,2008-06-06 0:00,
08-1078,ISLAND 26-28,ISLAND,2008-06-03,,,,,15.2,,,,W08100,2008-06-06 0:00,
08-1079,ISLAND 30-32,ISLAND,2008-06-03,,,,,5.6,,,,W08100,2008-06-06 0:00,
08-1080,ISLAND 34-36,ISLAND,2008-06-03,,,,,,,,,W08100,2008-06-06 0:00,
07-1210,LD2,LD2,2007-08-14,,,,,,,,,W07134,2008-03-06 0:00,89.28791
07-1761,LD2,LD2,2007-10-10,,,,,,,,,W07062,,
24-Jul,LFB,LFB,2006-10-01,136.6,84.4,84.4,117.2,90.5,129.1,142.8,,W07003,2007-02-12 0:00,
07-238,LFB,LFB,2007-05-22,55.9,82.7,103.3,56.4,100.7,112.9,40.4,,W07054,2008-03-06 0:00,73.353436
07-287,LFB,LFB,2007-06-04,55.7,78.7,95.6,49.4,98.9,99.9,45.2,,W07062,2008-03-06 0:00,92.563338
07-808,LFB,LFB,2007-07-02,57.2,69.2,122.2,21.2,88.7,29.1,81.4,,W07107,2008-03-06 0:00,150.256824
07-1112,LFB,LFB,2007-08-07,56,57.7,84.3,28.9,94.4,43.8,71.6,,W07134,2008-03-06 0:00,166.993486
07-1196,LFB,LFB,2007-07-30,49.5,64.1,95.7,18.5,87.5,55.8,83.6,,W07148,2008-03-06 0:00,127.993804
07-1884,LFB,LFB,2007-08-21,57.8,53.7,56.1,34.6,84.8,49.7,85,,W07171,2008-03-06 0:00,160.635274
07-1900,LFB,LFB,2007-09-24,66.6,55.6,82.3,19.1,104.4,43.2,95.4,,W07129,2008-03-06 0:00,178.491284
08-1098,LFB,LFB,2008-06-03,39.2,116.2,93,50.5,87.8,56.4,48.2,34,W08100,2008-06-06 0:00,76.01
08-1122,LFB,LFB,2008-06-18,99.6,62.3,102.3,136.7,80.6,129.7,108.7,84.7,W08102,2009-01-09 0:00,59.148
08-1276,LFB,LFB,2008-07-08,115.5,45.1,95.8,134.8,80.9,106.5,107.9,239.9,W08123,2009-01-09 0:00,74.478
08-1281,LFB,LFB,2008-07-09,200.5,141.2,106.3,78.2,120,101.7,170.9,43.3,W08124,2008-08-20 0:00,256.088
08-1385,LFB,LFB,2008-07-29,83.5,70.7,97.6,138.1,83.3,106.9,118.2,94.6,W08143,2009-01-09 0:00,62.904
08-1512,LFB,LFB,2008-08-20,118.6,68.2,98.7,150.8,89.7,118.2,122.9,84.6,W08156,2009-01-09 0:00,63.234
08-1635,LFB,LFB,2008-09-10,29.2,74.1,109.9,161.3,96.3,130.8,131.4,75.5,W08175,2009-01-09 0:00,45.66
08-2791,LFB,LFB,2008-10-01,111.4,56,88.6,133,77.5,113.4,90.1,146.3,W08224,2009-01-09 0:00,74.506
07-1760,LFM,LFM,2007-10-10,,,,,,,,,W07062,,
25-Jul,LRB,LRB,2006-10-01,,,,,,,,,W07003,2007-02-12 0:00,
07-239,LRB,LRB,2007-05-22,0.1,,,,,,,,W07054,2008-03-06 0:00,72.56557
07-288,LRB,LRB,2007-06-04,,,,,,,,,W07062,2008-03-06 0:00,75.572838
07-809,LRB,LRB,2007-07-02,,,,,,,,,W07107,2008-03-06 0:00,161.362122
07-1113,LRB,LRB,2007-08-07,,,,,0.3,,,,W07134,2008-03-06 0:00,85.533358
07-1197,LRB,LRB,2007-07-30,,,,,,,,,W07148,2008-03-06 0:00,121.586126
